PrvID,LodID,BarID,BarDescrip
6,94015023,7094,PARQUE SAN MARTIN-MERLO
6,94015023,7167,CABALLITO
6,94015023,7212,SAN MARTIN
6,94015023,7506,TRONCOS DEL TALAR
6,94015023,7848,VILLA CRESPO
6,94015028,7271,RECOLETA
10,94015074,7772,LOS SAUCES
22,94015086,7717,SAN SALVADOR
38,94015025,7129,DR MANUEL BELGRANO
50,94015076,7668,VILLA CEBECERA
66,66007010,7302,CENTRO
66,66007010,7513,80 VIVIENDAS
66,66007010,7560,AGUA Y NERGIA
66,66007060,7268,LA ESPERANZA
66,66007090,7124,LAS LOMITAS
66,66007090,7223,RADIO ESTACION
66,66007090,7246,SAN CAYETANO
66,66007090,7251,CENTRO 25 DE JUNIO
66,66007100,7245,SARGENTO CABRAL
66,66007100,7325,CENTRO
66,66021010,7243,SAN ISIDRO
66,66021010,7611,CASA EL SOCORRO
66,66021010,7709,SAN RAFAEL
66,66028050,7088,PARQUE LA VEGA
66,66028050,7089,SANTA ANA III
66,66028050,7090,SAAVEDRA
66,66028050,7096,AMPLIACION INTERSIND
66,66028050,7098,CIUDADA VALDIVIA
66,66028050,7101,PARQUE BELGRANO
66,66028050,7102,M. ARAOZ
66,66028050,7106,SANTA ANA 1
66,66028050,7121,LOS ALAMOS
66,66028050,7126,VILLA FLORESTA
66,66028050,7128,EL CARMEN
66,66028050,7134,SAN CALIXTO
66,66028050,7136,FLORESTA
66,66028050,7137,SANIDAD II
66,66028050,7156,SAN RAFAEL
66,66028050,7158,VICENTE SOLA
66,66028050,7165,EL HUAICO
66,66028050,7169,20 DE JUNIO
66,66028050,7170,SOLIDARIDAD
66,66028050,7172,MOSCONI
66,66028050,7174,FRATERNIDAD
66,66028050,7176,SAN PABLO
66,66028050,7182,SAN CAYETANO
66,66028050,7183,PROGRESO
66,66028050,7184,SAN FRANCISCO SOLANO
66,66028050,7186,VILLA ESTELA
66,66028050,7187,DEMOCRACIA
66,66028050,7188,HERNANDO DE LERMA
66,66028050,7189,SAN MATEO
66,66028050,7190,AGUA Y ENERGIA
66,66028050,7196,SAN SILVESTRE
66,66028050,7197,CEFERINO
66,66028050,7198,.
66,66028050,7199,CIUDAD VALDIVIA
66,66028050,7202,LA MADRID
66,66028050,7207,CASTA—ARES
66,66028050,7210,CENTRO
66,66028050,7211,.CENTRO
66,66028050,7213,ATOCHA II
66,66028050,7214,TRES CERRITOS
66,66028050,7239,SAUCE
66,66028050,7252,1 DE MAYO
66,66028050,7254,VILLA BELGRANO
66,66028050,7257,X
66,66028050,7266,15 DE FEBRERO
66,66028050,7280,AMPLIACION BANCARIO
66,66028050,7283,VILLA MITRE
66,66028050,7288,SANTA CECILIA
66,66028050,7297,VILLA CHARTAS
66,66028050,7298,LOS CEIBOS
66,66028050,7299,MIGUEL ARAOZ
66,66028050,7303,DON SANTIAGO
66,66028050,7304,LOS PINARES
66,66028050,7306,MIRASOLES
66,66028050,7307,NORTE GRANDE
66,66028050,7313,VILLA LUJAN
66,66028050,7314,UNIVERSITARIO
66,66028050,7318,VILLA SAN LORENZO
66,66028050,7329,LOS LAPACHOS
66,66028050,7330,ISLAS MALVINAA
66,66028050,7331,ISLAS MALVINAS
66,66028050,7332,PARQUE GRAL BELGRANO
66,66028050,7333,JOSE V. SOLA
66,66028050,7334,20 DE FEBRERO
66,66028050,7349,LAPACHO
66,66028050,7350,PEREYRA ROZAS
66,66028050,7351,VILLA ASUNCION
66,66028050,7353,LOS PROFESIONALES
66,66028050,7354,ARTURO ILLIA COMPLEJO HABT
66,66028050,7357,VILLA SOLEDAD
66,66028050,7358,LAS COSTAS
66,66028050,7359,SAN JOSE
66,66028050,7360,SANJOSE
66,66028050,7380,EL TRIBUNO
66,66028050,7381,25 DE MAYO
66,66028050,7382,MOROSINI
66,66028050,7383,JUAN CALCHAQUI
66,66028050,7384,LAA TUNAS
66,66028050,7385,LAS TUNAS
66,66028050,7386,.LAS TUNAS
66,66028050,7387,LOS SAUCES
66,66028050,7390,VILLA PATRICIA
66,66028050,7402,SIGLO XXI
66,66028050,7412,DOCENTE
66,66028050,7413,.DOCENTE
66,66028050,7417,LIMACHE
66,66028050,7420,LA LONJA
66,66028050,7426,LOS PINOS
66,66028050,7427,LOS PINOS II
66,66028050,7448,LAVALLE
66,66028050,7451,JUAN PABLO II
66,66028050,7453,VILLA ANGELITA
66,66028050,7464,FONAVI
66,66028050,7465,FONAVI XII
66,66028050,7467,SAN FRANCISCO.
66,66028050,7474,3875633344
66,66028050,7480,SAN REMO
66,66028050,7493,VILLA SANTA ANA
66,66028050,7566,AUTODOMO
66,66028050,7584,ESCALABRINI ORTIZ
66,66028050,7594,LAS CIEENAGAS
66,66028050,7686,VILLA SAN JOSE
66,66028050,7687,EL HUAYCO
66,66028050,7691,VILLA JUANITA
66,66028050,7693,MIGUEL ORTIZ
66,66028050,7711,CIUDAD DEL MILAGRO
66,66028050,7715,SANTA ANA 2
66,66028050,7724,CHACHAPOYAS
66,66028050,7727,EL PILAR
66,66028050,7730,SARMIENTO
66,66028050,7819,CASINO
66,66028050,7837,BICENTENARIO
66,66028050,7850,ALTO DE LA VI—A
66,66028050,7858,INTERSINIDICAL
66,66035010,7135,FIRPO
66,66035010,7191,LA CA—ADITA-LA MERCED
66,66035010,7195,LOS CRESPONES
66,66035010,7222,CENTRO
66,66035010,7276,CERRILLOS
66,66035010,7284,LOS LAMOS
66,66035010,7285,LOS ALAMOS
66,66035010,7289,SANTA RITA III
66,66035010,7292,SANTA MARIA DE LOS
66,66035010,7301,LOS TARCOS
66,66035010,7305,LOS PINARES
66,66035010,7308,SAN CAYETANO
66,66035010,7442,300 VIVIENDAS
66,66035010,7514,LOS PALMARES DE LA ISLA
66,66035010,7552,LA MERCED
66,66035010,7583,LOS PARAISO
66,66035010,7608,CUIDAD VALDIVIA
66,66035010,7653,PALMERAS DE LAS ISLA
66,66035010,7692,SANTA TERESITA
66,66035010,7722,MUESTRA SE—ORA DEL HUERTO
66,66035010,7734,2 DE ABRIL
66,66035010,7760,LOS PARAISOS
66,66035010,7773,VILLA EVITA
66,66035010,7777,MAMAPAC
66,66035010,7802,VIRGEN DE FATIMA
66,66035010,7807,FINCA LA CANDELARIA
66,66035010,7835,VILLAS LOS TARCOS
66,66035010,7838,25 DE MAYO
66,66035010,7853,VILLA ALAMOS
66,66035020,7806,LA MERCED
66,66035030,7582,LAS LOMITAS
66,66042010,7279,PARQUE LA CRUZ
66,66042010,7415,EL CARRIL
66,66042010,7580,SANTA RITA SUR
66,66042010,7618,ARTUTO D¥ANDREA
66,66042010,7636,LAS PALTAS
66,66042010,7665,NUESTRA SE—ORA DE LA MERCED
66,66042010,7671,INMACULADA CONCEPCION
66,66042010,7678,LUIS BURELA
66,66042010,7713,BATALLA DE SALTA
66,66042010,7828,SUE—OS
66,66042020,7173,CHICOANA
66,66042020,7185,SAN JORGE
66,66042020,7549,PARQUE CALVIMONTE
66,66042020,7852,LA LOMA
66,66056050,7529,GENERAL GUEMES
66,66056050,7645,EL TRIBUNO
66,66056050,7688,LOS PINARES
66,66056090,7149,13 DE DICIEMBRE
66,66056090,7171,CENTRO
66,66056220,7091,SAAVEDRA
66,66056220,7151,360 VIVIENDAS
66,66056220,7208,126 VIVIENDAS
66,66056220,7397,SAN JUAN
66,66056220,7487,PARAJE CU—A MUERTA
66,66056220,7503,GENERAL GUEMES
66,66056220,7504,CENTRO
66,66056220,7564,SAN ANTONIO
66,66056220,7637,LOS PAYOS
66,66056220,7749,SAN JOSE
66,66056220,7831,365 VIVIENDAS
66,66063010,7105,CARAHUASI
66,66063010,7565,ARENALES 1
66,66063010,7778,SANTA ELENA
66,66063010,7841,LA LOMA
66,66077010,7338,80 VIVIENDAS
66,66077010,7622,VAQUEROS
66,66077010,7680,BALCON DE GETSEMANI
66,66077010,7761,40 VIVIENDAS
66,66077020,7621,VAQUEROS
66,66077020,7792,LA CALDERA
66,66077020,7793,EL PACARA
66,66098020,7107,V∞ LOS ALAMOS
66,66098030,7616,GERMAN LOPEZ
66,66098030,7854,9 DE JULIO
66,66098040,7562,MARTIN MIGUEL DE GUEMES
66,66098040,7642,EL PUEBLO
66,66098040,7849,ALTO DE LA VI—A
66,66105020,7247,CASEROS
66,66119020,7471,30 VIVIENDAS
66,66119020,7489,MOLINOS
66,66147010,7175,FERROVIARIO
66,66147010,7226,SAN ROQIUE
66,66147010,7227,CAMPO QUIJANO
66,66147010,7753,9 DE JULIO
66,66147030,7100,PARQUE EL PORTAL
66,66147030,7152,RICARDO BALBIN
66,66147030,7177,CENTRO
66,66147030,7193,SAN JOSE
66,66147030,7286,PADRE CHIFRI
66,66147030,7309,PARQUE LAS ROSAS
66,66147030,7439,EL CARMEN
66,66147030,7449,LA QUERENCIA
66,66147030,7452,PARQUE LAS R.
66,66147030,7507,VILLA LOLA
66,66147030,7510,SAN RAFAEL
66,66147030,7536,EL MOLLAR II LA SILLETA
66,66147030,7638,CHACARITA
66,66147030,7812,CAMPO QUIJANO
66,66147030,7820,VILLA EL DIQUE
